Project,Module,File,GT,TFIDF@10,Score@10,TFIDF@20,Score@20,TFIDF@30,Score@30,TFIDF@40,Score@40,TFIDF@50,Score@50,TFIDF@60,Score@60,TFIDF@70,Score@70,TFIDF@80,Score@80,TFIDF@90,Score@90
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/FreeswitchApplication.java,None,FSESL,57.89,FSESL,57.89,FSESL,57.89,FSESL,57.89,FSESL,57.89,None,57.89,None,57.89,None,57.89,None,57.89
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationFileProcessor.java,Presentation Conversion,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34,Presentation Conversion,151.34
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/ESLEventListener.java,None,FSESL,49.69,FSESL,49.69,FSESL,49.69,FSESL,49.69,None,49.69,None,49.69,None,49.69,None,49.69,None,49.69
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/AudioFloorChangedEvent.java,None,FSESL,78.68,FSESL,78.68,FSESL,78.68,FSESL,78.68,FSESL,78.68,FSESL,78.68,FSESL,78.68,None,78.68,None,78.68
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java,None,FSESL,75.97,FSESL,75.97,FSESL,75.97,FSESL,75.97,FSESL,75.97,FSESL,75.97,FSESL,75.97,None,75.97,None,75.97
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java,None,FSESL,75.26,FSESL,75.26,FSESL,75.26,FSESL,75.26,FSESL,75.26,FSESL,75.26,FSESL,75.26,None,75.26,None,75.26
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/IPresentationCompletionMessage.java,Presentation Conversion,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,Presentation Conversion,86.74,None,86.74
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ImageResizer.java,Presentation Conversion,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,Presentation Conversion,86.46,None,86.46
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/web/services/UserCleanupTimerTask.java,BBB web,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,None,74.76,None,74.76
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Png2SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,Presentation Conversion,86.60,None,86.60
bigbluebutton,FreeSWITCH,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,None,FSESL,64.01,FSESL,64.01,FSESL,64.01,FSESL,64.01,FSESL,64.01,FSESL,64.01,None,64.01,None,64.01,None,64.01
bigbluebutton,FreeSWITCH,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PresentationUrlDownloadService.java,Presentation Conversion,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23,Presentation Conversion,109.23
bigbluebutton,FreeSWITCH,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundPipelineFactory.java,None,FSESL,85.51,FSESL,85.51,FSESL,85.51,FSESL,85.51,FSESL,85.51,FSESL,85.51,FSESL,85.51,FSESL,85.51,None,85.51
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/Keys.java,Redis DB,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34,Redis PubSub,150.34
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/AbstractOutboundClientHandler.java,FreeSWITCH,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06,FreeSWITCH,91.06
bigbluebutton,Presentation Conversion,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java,BBB web,BBB web,38.56,BBB web,38.56,BBB web,38.56,None,38.56,None,38.56,None,38.56,None,38.56,None,38.56,None,38.56
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectAllUsersCommand.java,FreeSWITCH,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94,FreeSWITCH,105.94
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionMessageConstants.java,None,BBB web,75.61,BBB web,75.61,BBB web,75.61,BBB web,75.61,BBB web,75.61,BBB web,75.61,BBB web,75.61,None,75.61,None,75.61
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java,FreeSWITCH,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45,FreeSWITCH,101.45
bigbluebutton,Presentation Conversion,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,Apps,Apps,55.26,Apps,55.26,Apps,55.26,Apps,55.26,Apps,55.26,None,55.26,None,55.26,None,55.26,None,55.26
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslFrameDecoder.java,FreeSWITCH,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,FreeSWITCH,76.91,None,76.91,None,76.91
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/ReceivedMessage.java,Redis PubSub,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72,Redis PubSub,305.72
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserTalkingEvent.java,FreeSWITCH,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java,FreeSWITCH,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64,FreeSWITCH,104.64
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11,FreeSWITCH,100.11
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLockedEvent.java,FreeSWITCH,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61,FreeSWITCH,102.61
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java,FreeSWITCH,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04,FreeSWITCH,104.04
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionServiceImp.java,None,BBB web,77.00,BBB web,77.00,BBB web,77.00,BBB web,77.00,BBB web,77.00,BBB web,77.00,BBB web,77.00,None,77.00,None,77.00
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java,FreeSWITCH,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24,FreeSWITCH,98.24
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningEvent.java,FreeSWITCH,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63,FreeSWITCH,105.63
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/DelayCallback.java,BBB web,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,BBB web,76.13,None,76.13,None,76.13
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfPageCounterHandler.java,None,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,None,76.42,None,76.42
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/CountingPageException.java,None,BBB web,74.64,BBB web,74.64,BBB web,74.64,BBB web,74.64,BBB web,74.64,BBB web,74.64,BBB web,74.64,None,74.64,None,74.64
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCompletedProgress.java,None,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,None,74.68,None,74.68
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisStorageService.java,Redis DB,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24,Redis PubSub,118.24
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/ThumbnailCreatorImp.java,None,BBB web,78.69,BBB web,78.69,BBB web,78.69,BBB web,78.69,BBB web,78.69,BBB web,78.69,BBB web,78.69,None,78.69,None,78.69
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/GetUsersCommand.java,FreeSWITCH,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountFailed.java,None,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,None,74.71,None,74.71
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/SvgImageCreator.java,None,BBB web,75.73,BBB web,75.73,BBB web,75.73,BBB web,75.73,BBB web,75.73,BBB web,75.73,BBB web,75.73,None,75.73,None,75.73
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DeafUserCommand.java,FreeSWITCH,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/CommandResponse.java,FreeSWITCH,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91,FreeSWITCH,90.91
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageExtractor.java,None,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,None,74.72,None,74.72
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/Page.java,None,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,BBB web,74.72,None,74.72,None,74.72
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslHeaders.java,FreeSWITCH,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,FreeSWITCH,89.04,None,89.04
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/TransferUserToMeetingCommand.java,FreeSWITCH,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16,FreeSWITCH,103.16
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,BBB web,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,BBB web,74.81,None,74.81,None,74.81
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocConversionProgress.java,None,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,BBB web,74.71,None,74.71,None,74.71
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/PlaySoundCommand.java,FreeSWITCH,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35,FreeSWITCH,103.35
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java,FreeSWITCH,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72,FreeSWITCH,102.72
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeDocumentValidator2.java,None,BBB web,78.75,BBB web,78.75,BBB web,78.75,BBB web,78.75,BBB web,78.75,BBB web,78.75,BBB web,78.75,None,78.75,None,78.75
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundConnectionFailure.java,FreeSWITCH,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90,FreeSWITCH,92.90
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageDistributor.java,Redis PubSub,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35,Redis PubSub,300.35
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundClientHandler.java,FreeSWITCH,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,FreeSWITCH,85.93,None,85.93
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/example/ExampleClient.java,FreeSWITCH,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,FreeSWITCH,88.33,None,88.33
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/manager/ManagerConnection.java,FreeSWITCH,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25,FreeSWITCH,93.25
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/WaitingGuestCleanupTimerTask.java,BBB web,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,BBB web,74.76,None,74.76,None,74.76
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/TurnServer.java,BBB web,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,None,74.73,None,74.73
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,None,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,BBB web,74.73,None,74.73,None,74.73
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/outbound/example/SimpleHangupOutboundHandler.java,FreeSWITCH,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,FreeSWITCH,86.90,None,86.90
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/RecordCommand.java,FreeSWITCH,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15,FreeSWITCH,101.15
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionService.java,None,BBB web,75.72,BBB web,75.72,BBB web,75.72,BBB web,75.72,BBB web,75.72,BBB web,75.72,BBB web,75.72,None,75.72,None,75.72
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/MimeTypeUtils.java,None,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,BBB web,79.98,None,79.98,None,79.98
bigbluebutton,Presentation Conversion,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java,Apps,Apps,49.71,Apps,49.71,Apps,49.71,Apps,49.71,None,49.71,None,49.71,None,49.71,None,49.71,None,49.71
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceStartRecordingEvent.java,FreeSWITCH,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10,FreeSWITCH,98.10
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/Client.java,FreeSWITCH,FreeSWITCH,73.96,FreeSWITCH,73.96,FreeSWITCH,73.96,FreeSWITCH,73.96,FreeSWITCH,73.96,FreeSWITCH,73.96,FreeSWITCH,73.96,None,73.96,None,73.96
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/ConferenceCommandResult.java,FreeSWITCH,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55,FreeSWITCH,98.55
bigbluebutton,Presentation Conversion,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierWrapper.java,Apps,Apps,61.31,Apps,61.31,Apps,61.31,Apps,61.31,Apps,61.31,Apps,61.31,None,61.31,None,61.31,None,61.31
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PageExtractorImp.java,None,BBB web,75.67,BBB web,75.67,BBB web,75.67,BBB web,75.67,BBB web,75.67,BBB web,75.67,BBB web,75.67,None,75.67,None,75.67
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/callback/CallbackUrlService.java,BBB web,BBB web,76.17,BBB web,76.17,BBB web,76.17,BBB web,76.17,BBB web,76.17,BBB web,76.17,BBB web,76.17,None,76.17,None,76.17
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/BigPdfException.java,None,BBB web,78.09,BBB web,78.09,BBB web,78.09,BBB web,78.09,BBB web,78.09,BBB web,78.09,BBB web,78.09,None,78.09,None,78.09
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAliveMessage.java,BBB web,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,BBB web,74.82,None,74.82,None,74.82
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/pubsub/MessageHandler.java,Redis PubSub,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19,Redis PubSub,312.19
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PdfSlidesGenerationService.java,None,BBB web,77.05,BBB web,77.05,BBB web,77.05,BBB web,77.05,BBB web,77.05,BBB web,77.05,BBB web,77.05,None,77.05,None,77.05
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java,FreeSWITCH,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23,FreeSWITCH,107.23
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java,FreeSWITCH,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85,FreeSWITCH,99.85
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/PdfFontType3DetectorHandler.java,None,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,BBB web,76.42,None,76.42,None,76.42
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/web/services/turn/StunServer.java,BBB web,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,BBB web,74.80,None,74.80,None,74.80
bigbluebutton,Presentation Conversion,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/debug/ExecutionHandler.java,FreeSWITCH,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,FreeSWITCH,87.18,None,87.18
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/UnknownConferenceEvent.java,FreeSWITCH,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45,FreeSWITCH,100.45
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountExceeded.java,None,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,BBB web,74.68,None,74.68,None,74.68
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationConversionCompletionService.java,None,BBB web,75.81,BBB web,75.81,BBB web,75.81,BBB web,75.81,BBB web,75.81,BBB web,75.81,BBB web,75.81,None,75.81,None,75.81
bigbluebutton,Presentation Conversion,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/AbstractCommandHandler.java,None,BBB web,76.05,BBB web,76.05,BBB web,76.05,BBB web,76.05,BBB web,76.05,BBB web,76.05,BBB web,76.05,None,76.05,None,76.05
bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectUserCommand.java,FreeSWITCH,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21,FreeSWITCH,104.21
bigbluebutton,Presentation Conversion,bbb-common-message/src/main/java/org/bigbluebutton/common2/redis/RedisAwareCommunicator.java,Redis DB,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86,Redis PubSub,159.86
